"TAD_ID","Pattern","Germinating_Cyst_vs_Zoospore","Mycelia_48h_vs_Germinating_Cyst","Mycelia_4d_vs_Mycelia_48h","Early_infection_vs_Mycelia_4d","Late_infection_vs_Early_infection","Category","Category_ID"
"TAD_19","Down,Not Significant,Not Significant,Up,Up","Down","Not Significant","Not Significant","Up","Up","Down,Not Significant,Not Significant,Up,Up","Category_5"
"TAD_20","Down,Not Significant,Up,Not Significant,Not Significant","Down","Not Significant","Up","Not Significant","Not Significant","Down,Not Significant,Up,Not Significant,Not Significant","Category_6"
"TAD_21","Down,Not Significant,Not Significant,Not Significant,Not Significant","Down","Not Significant","Not Significant","Not Significant","Not Significant","Down,Not Significant,Not Significant,Not Significant,Not Significant","Category_3"
"TAD_23","Down,Not Significant,Up,Not Significant,Not Significant","Down","Not Significant","Up","Not Significant","Not Significant","Down,Not Significant,Up,Not Significant,Not Significant","Category_6"
"TAD_24","Down,Up,Not Significant,Not Significant,Not Significant","Down","Up","Not Significant","Not Significant","Not Significant","Down,Up,Not Significant,Not Significant,Not Significant","Category_10"
"TAD_25","Down,Not Significant,Not Significant,Not Significant,Not Significant","Down","Not Significant","Not Significant","Not Significant","Not Significant","Down,Not Significant,Not Significant,Not Significant,Not Significant","Category_3"
"TAD_26","Not Significant,Up,Down,Up,Not Significant","Not Significant","Up","Down","Up","Not Significant","Not Significant,Up,Down,Up,Not Significant","Category_31"
"TAD_28","Not Significant,Not Significant,Not Significant,Up,Not Significant","Not Significant","Not Significant","Not Significant","Up","Not Significant","Not Significant,Not Significant,Not Significant,Up,Not Significant","Category_25"
"TAD_29","Down,Not Significant,Up,Not Significant,Not Significant","Down","Not Significant","Up","Not Significant","Not Significant","Down,Not Significant,Up,Not Significant,Not Significant","Category_6"
"TAD_30","Down,Not Significant,Up,Up,Down","Down","Not Significant","Up","Up","Down","Down,Not Significant,Up,Up,Down","Category_7"
"TAD_31","Down,Not Significant,Not Significant,Not Significant,Not Significant","Down","Not Significant","Not Significant","Not Significant","Not Significant","Down,Not Significant,Not Significant,Not Significant,Not Significant","Category_3"
"TAD_33","Not Significant,Not Significant,Up,Not Significant,Not Significant","Not Significant","Not Significant","Up","Not Significant","Not Significant","Not Significant,Not Significant,Up,Not Significant,Not Significant","Category_27"
"TAD_35","Down,Not Significant,Not Significant,Not Significant,Not Significant","Down","Not Significant","Not Significant","Not Significant","Not Significant","Down,Not Significant,Not Significant,Not Significant,Not Significant","Category_3"
"TAD_36","Down,Up,Up,Not Significant,Up","Down","Up","Up","Not Significant","Up","Down,Up,Up,Not Significant,Up","Category_15"
"TAD_37","Up,Not Significant,Not Significant,Not Significant,Not Significant","Up","Not Significant","Not Significant","Not Significant","Not Significant","Up,Not Significant,Not Significant,Not Significant,Not Significant","Category_38"
"TAD_39","Down,Up,Up,Not Significant,Not Significant","Down","Up","Up","Not Significant","Not Significant","Down,Up,Up,Not Significant,Not Significant","Category_14"
"TAD_40","Down,Not Significant,Up,Not Significant,Not Significant","Down","Not Significant","Up","Not Significant","Not Significant","Down,Not Significant,Up,Not Significant,Not Significant","Category_6"
"TAD_42","Not Significant,Not Significant,Up,Not Significant,Up","Not Significant","Not Significant","Up","Not Significant","Up","Not Significant,Not Significant,Up,Not Significant,Up","Category_28"
"TAD_43","Down,Not Significant,Up,Up,Not Significant","Down","Not Significant","Up","Up","Not Significant","Down,Not Significant,Up,Up,Not Significant","Category_8"
"TAD_44","Down,Not Significant,Not Significant,Not Significant,Not Significant","Down","Not Significant","Not Significant","Not Significant","Not Significant","Down,Not Significant,Not Significant,Not Significant,Not Significant","Category_3"
"TAD_45","Down,Not Significant,Up,Not Significant,Not Significant","Down","Not Significant","Up","Not Significant","Not Significant","Down,Not Significant,Up,Not Significant,Not Significant","Category_6"
"TAD_46","Not Significant,Not Significant,Down,Not Significant,Up","Not Significant","Not Significant","Down","Not Significant","Up","Not Significant,Not Significant,Down,Not Significant,Up","Category_20"
"TAD_48","Not Significant,Up,Down,Not Significant,Not Significant","Not Significant","Up","Down","Not Significant","Not Significant","Not Significant,Up,Down,Not Significant,Not Significant","Category_30"
"TAD_49","Not Significant,Not Significant,Down,Up,Not Significant","Not Significant","Not Significant","Down","Up","Not Significant","Not Significant,Not Significant,Down,Up,Not Significant","Category_21"
"TAD_51","Not Significant,Up,Not Significant,Up,Down","Not Significant","Up","Not Significant","Up","Down","Not Significant,Up,Not Significant,Up,Down","Category_34"
"TAD_52","Down,Not Significant,Up,Not Significant,Not Significant","Down","Not Significant","Up","Not Significant","Not Significant","Down,Not Significant,Up,Not Significant,Not Significant","Category_6"
"TAD_54","Down,Up,Up,Not Significant,Not Significant","Down","Up","Up","Not Significant","Not Significant","Down,Up,Up,Not Significant,Not Significant","Category_14"
"TAD_55","Down,Not Significant,Not Significant,Not Significant,Not Significant","Down","Not Significant","Not Significant","Not Significant","Not Significant","Down,Not Significant,Not Significant,Not Significant,Not Significant","Category_3"
"TAD_56","Down,Up,Up,Not Significant,Not Significant","Down","Up","Up","Not Significant","Not Significant","Down,Up,Up,Not Significant,Not Significant","Category_14"
"TAD_57","Down,Not Significant,Up,Not Significant,Not Significant","Down","Not Significant","Up","Not Significant","Not Significant","Down,Not Significant,Up,Not Significant,Not Significant","Category_6"
"TAD_59","Not Significant,Not Significant,Up,Not Significant,Not Significant","Not Significant","Not Significant","Up","Not Significant","Not Significant","Not Significant,Not Significant,Up,Not Significant,Not Significant","Category_27"
"TAD_60","Down,Not Significant,Not Significant,Not Significant,Not Significant","Down","Not Significant","Not Significant","Not Significant","Not Significant","Down,Not Significant,Not Significant,Not Significant,Not Significant","Category_3"
"TAD_62","Not Significant,Not Significant,Up,Not Significant,Not Significant","Not Significant","Not Significant","Up","Not Significant","Not Significant","Not Significant,Not Significant,Up,Not Significant,Not Significant","Category_27"
"TAD_63","Not Significant,Not Significant,Up,Not Significant,Not Significant","Not Significant","Not Significant","Up","Not Significant","Not Significant","Not Significant,Not Significant,Up,Not Significant,Not Significant","Category_27"
"TAD_65","Down,Not Significant,Up,Not Significant,Not Significant","Down","Not Significant","Up","Not Significant","Not Significant","Down,Not Significant,Up,Not Significant,Not Significant","Category_6"
"TAD_66","Down,Not Significant,Up,Not Significant,Not Significant","Down","Not Significant","Up","Not Significant","Not Significant","Down,Not Significant,Up,Not Significant,Not Significant","Category_6"
"TAD_67","Not Significant,Not Significant,Up,Not Significant,Down","Not Significant","Not Significant","Up","Not Significant","Down","Not Significant,Not Significant,Up,Not Significant,Down","Category_26"
"TAD_68","Not Significant,Not Significant,Up,Not Significant,Not Significant","Not Significant","Not Significant","Up","Not Significant","Not Significant","Not Significant,Not Significant,Up,Not Significant,Not Significant","Category_27"
"TAD_70","Up,Not Significant,Up,Not Significant,Not Significant","Up","Not Significant","Up","Not Significant","Not Significant","Up,Not Significant,Up,Not Significant,Not Significant","Category_39"
"TAD_72","Not Significant,Not Significant,Up,Not Significant,Not Significant","Not Significant","Not Significant","Up","Not Significant","Not Significant","Not Significant,Not Significant,Up,Not Significant,Not Significant","Category_27"
"TAD_73","Not Significant,Down,Up,Not Significant,Not Significant","Not Significant","Down","Up","Not Significant","Not Significant","Not Significant,Down,Up,Not Significant,Not Significant","Category_18"
"TAD_74","Down,Not Significant,Up,Up,Not Significant","Down","Not Significant","Up","Up","Not Significant","Down,Not Significant,Up,Up,Not Significant","Category_8"
"TAD_76","Down,Up,Not Significant,Up,Down","Down","Up","Not Significant","Up","Down","Down,Up,Not Significant,Up,Down","Category_12"
"TAD_77","Not Significant,Not Significant,Up,Not Significant,Not Significant","Not Significant","Not Significant","Up","Not Significant","Not Significant","Not Significant,Not Significant,Up,Not Significant,Not Significant","Category_27"
"TAD_78","Down,Up,Up,Not Significant,Not Significant","Down","Up","Up","Not Significant","Not Significant","Down,Up,Up,Not Significant,Not Significant","Category_14"
"TAD_79","Not Significant,Not Significant,Not Significant,Not Significant,Up","Not Significant","Not Significant","Not Significant","Not Significant","Up","Not Significant,Not Significant,Not Significant,Not Significant,Up","Category_24"
"TAD_80","Down,Up,Not Significant,Not Significant,Not Significant","Down","Up","Not Significant","Not Significant","Not Significant","Down,Up,Not Significant,Not Significant,Not Significant","Category_10"
"TAD_81","Down,Up,Not Significant,Not Significant,Up","Down","Up","Not Significant","Not Significant","Up","Down,Up,Not Significant,Not Significant,Up","Category_11"
"TAD_82","Not Significant,Not Significant,Down,Up,Not Significant","Not Significant","Not Significant","Down","Up","Not Significant","Not Significant,Not Significant,Down,Up,Not Significant","Category_21"
"TAD_83","Not Significant,Not Significant,Up,Not Significant,Not Significant","Not Significant","Not Significant","Up","Not Significant","Not Significant","Not Significant,Not Significant,Up,Not Significant,Not Significant","Category_27"
"TAD_84","Down,Not Significant,Down,Up,Down","Down","Not Significant","Down","Up","Down","Down,Not Significant,Down,Up,Down","Category_2"
"TAD_86","Not Significant,Not Significant,Not Significant,Not Significant,Down","Not Significant","Not Significant","Not Significant","Not Significant","Down","Not Significant,Not Significant,Not Significant,Not Significant,Down","Category_23"
"TAD_87","Down,Up,Not Significant,Up,Not Significant","Down","Up","Not Significant","Up","Not Significant","Down,Up,Not Significant,Up,Not Significant","Category_13"
"TAD_88","Down,Up,Not Significant,Up,Not Significant","Down","Up","Not Significant","Up","Not Significant","Down,Up,Not Significant,Up,Not Significant","Category_13"
"TAD_91","Down,Not Significant,Not Significant,Not Significant,Not Significant","Down","Not Significant","Not Significant","Not Significant","Not Significant","Down,Not Significant,Not Significant,Not Significant,Not Significant","Category_3"
"TAD_92","Down,Not Significant,Not Significant,Not Significant,Not Significant","Down","Not Significant","Not Significant","Not Significant","Not Significant","Down,Not Significant,Not Significant,Not Significant,Not Significant","Category_3"
"TAD_94","Down,Not Significant,Not Significant,Not Significant,Not Significant","Down","Not Significant","Not Significant","Not Significant","Not Significant","Down,Not Significant,Not Significant,Not Significant,Not Significant","Category_3"
"TAD_95","Down,Not Significant,Not Significant,Not Significant,Not Significant","Down","Not Significant","Not Significant","Not Significant","Not Significant","Down,Not Significant,Not Significant,Not Significant,Not Significant","Category_3"
"TAD_96","Down,Not Significant,Up,Not Significant,Not Significant","Down","Not Significant","Up","Not Significant","Not Significant","Down,Not Significant,Up,Not Significant,Not Significant","Category_6"
"TAD_98","Not Significant,Not Significant,Down,Up,Not Significant","Not Significant","Not Significant","Down","Up","Not Significant","Not Significant,Not Significant,Down,Up,Not Significant","Category_21"
"TAD_99","Down,Up,Not Significant,Not Significant,Not Significant","Down","Up","Not Significant","Not Significant","Not Significant","Down,Up,Not Significant,Not Significant,Not Significant","Category_10"
"TAD_100","Down,Up,Not Significant,Not Significant,Not Significant","Down","Up","Not Significant","Not Significant","Not Significant","Down,Up,Not Significant,Not Significant,Not Significant","Category_10"
"TAD_103","Down,Not Significant,Down,Not Significant,Not Significant","Down","Not Significant","Down","Not Significant","Not Significant","Down,Not Significant,Down,Not Significant,Not Significant","Category_1"
"TAD_105","Down,Up,Up,Not Significant,Not Significant","Down","Up","Up","Not Significant","Not Significant","Down,Up,Up,Not Significant,Not Significant","Category_14"
"TAD_106","Not Significant,Down,Down,Not Significant,Not Significant","Not Significant","Down","Down","Not Significant","Not Significant","Not Significant,Down,Down,Not Significant,Not Significant","Category_17"
"TAD_107","Up,Not Significant,Down,Not Significant,Not Significant","Up","Not Significant","Down","Not Significant","Not Significant","Up,Not Significant,Down,Not Significant,Not Significant","Category_37"
"TAD_108","Down,Up,Not Significant,Up,Not Significant","Down","Up","Not Significant","Up","Not Significant","Down,Up,Not Significant,Up,Not Significant","Category_13"
"TAD_109","Down,Not Significant,Up,Not Significant,Not Significant","Down","Not Significant","Up","Not Significant","Not Significant","Down,Not Significant,Up,Not Significant,Not Significant","Category_6"
"TAD_110","Not Significant,Not Significant,Not Significant,Up,Not Significant","Not Significant","Not Significant","Not Significant","Up","Not Significant","Not Significant,Not Significant,Not Significant,Up,Not Significant","Category_25"
"TAD_113","Not Significant,Not Significant,Down,Not Significant,Not Significant","Not Significant","Not Significant","Down","Not Significant","Not Significant","Not Significant,Not Significant,Down,Not Significant,Not Significant","Category_19"
"TAD_115","Not Significant,Up,Not Significant,Up,Not Significant","Not Significant","Up","Not Significant","Up","Not Significant","Not Significant,Up,Not Significant,Up,Not Significant","Category_35"
"TAD_116","Not Significant,Up,Not Significant,Not Significant,Not Significant","Not Significant","Up","Not Significant","Not Significant","Not Significant","Not Significant,Up,Not Significant,Not Significant,Not Significant","Category_33"
"TAD_121","Not Significant,Up,Up,Not Significant,Not Significant","Not Significant","Up","Up","Not Significant","Not Significant","Not Significant,Up,Up,Not Significant,Not Significant","Category_36"
"TAD_123","Down,Up,Up,Up,Not Significant","Down","Up","Up","Up","Not Significant","Down,Up,Up,Up,Not Significant","Category_16"
"TAD_124","Not Significant,Not Significant,Up,Up,Not Significant","Not Significant","Not Significant","Up","Up","Not Significant","Not Significant,Not Significant,Up,Up,Not Significant","Category_29"
"TAD_125","Down,Up,Up,Not Significant,Not Significant","Down","Up","Up","Not Significant","Not Significant","Down,Up,Up,Not Significant,Not Significant","Category_14"
"TAD_126","Down,Not Significant,Not Significant,Not Significant,Up","Down","Not Significant","Not Significant","Not Significant","Up","Down,Not Significant,Not Significant,Not Significant,Up","Category_4"
"TAD_128","Not Significant,Not Significant,Not Significant,Down,Down","Not Significant","Not Significant","Not Significant","Down","Down","Not Significant,Not Significant,Not Significant,Down,Down","Category_22"
"TAD_129","Not Significant,Not Significant,Up,Up,Not Significant","Not Significant","Not Significant","Up","Up","Not Significant","Not Significant,Not Significant,Up,Up,Not Significant","Category_29"
"TAD_130","Not Significant,Up,Not Significant,Up,Not Significant","Not Significant","Up","Not Significant","Up","Not Significant","Not Significant,Up,Not Significant,Up,Not Significant","Category_35"
"TAD_131","Down,Up,Up,Not Significant,Up","Down","Up","Up","Not Significant","Up","Down,Up,Up,Not Significant,Up","Category_15"
"TAD_133","Not Significant,Not Significant,Up,Not Significant,Not Significant","Not Significant","Not Significant","Up","Not Significant","Not Significant","Not Significant,Not Significant,Up,Not Significant,Not Significant","Category_27"
"TAD_134","Not Significant,Up,Not Significant,Not Significant,Down","Not Significant","Up","Not Significant","Not Significant","Down","Not Significant,Up,Not Significant,Not Significant,Down","Category_32"
"TAD_135","Not Significant,Up,Not Significant,Not Significant,Not Significant","Not Significant","Up","Not Significant","Not Significant","Not Significant","Not Significant,Up,Not Significant,Not Significant,Not Significant","Category_33"
"TAD_138","Down,Not Significant,Up,Not Significant,Not Significant","Down","Not Significant","Up","Not Significant","Not Significant","Down,Not Significant,Up,Not Significant,Not Significant","Category_6"
"TAD_140","Down,Not Significant,Not Significant,Not Significant,Not Significant","Down","Not Significant","Not Significant","Not Significant","Not Significant","Down,Not Significant,Not Significant,Not Significant,Not Significant","Category_3"
"TAD_141","Down,Up,Down,Not Significant,Up","Down","Up","Down","Not Significant","Up","Down,Up,Down,Not Significant,Up","Category_9"
"TAD_142","Down,Up,Not Significant,Not Significant,Not Significant","Down","Up","Not Significant","Not Significant","Not Significant","Down,Up,Not Significant,Not Significant,Not Significant","Category_10"
"TAD_144","Down,Not Significant,Up,Up,Not Significant","Down","Not Significant","Up","Up","Not Significant","Down,Not Significant,Up,Up,Not Significant","Category_8"
"TAD_146","Down,Not Significant,Up,Not Significant,Not Significant","Down","Not Significant","Up","Not Significant","Not Significant","Down,Not Significant,Up,Not Significant,Not Significant","Category_6"
"TAD_147","Down,Up,Up,Up,Not Significant","Down","Up","Up","Up","Not Significant","Down,Up,Up,Up,Not Significant","Category_16"
"TAD_148","Down,Up,Not Significant,Up,Not Significant","Down","Up","Not Significant","Up","Not Significant","Down,Up,Not Significant,Up,Not Significant","Category_13"
"TAD_149","Down,Not Significant,Up,Not Significant,Not Significant","Down","Not Significant","Up","Not Significant","Not Significant","Down,Not Significant,Up,Not Significant,Not Significant","Category_6"
"TAD_150","Down,Not Significant,Up,Not Significant,Not Significant","Down","Not Significant","Up","Not Significant","Not Significant","Down,Not Significant,Up,Not Significant,Not Significant","Category_6"
"TAD_151","Not Significant,Not Significant,Up,Not Significant,Not Significant","Not Significant","Not Significant","Up","Not Significant","Not Significant","Not Significant,Not Significant,Up,Not Significant,Not Significant","Category_27"
"TAD_153","Not Significant,Up,Not Significant,Not Significant,Not Significant","Not Significant","Up","Not Significant","Not Significant","Not Significant","Not Significant,Up,Not Significant,Not Significant,Not Significant","Category_33"
"TAD_154","Not Significant,Not Significant,Down,Not Significant,Not Significant","Not Significant","Not Significant","Down","Not Significant","Not Significant","Not Significant,Not Significant,Down,Not Significant,Not Significant","Category_19"
"TAD_155","Down,Up,Not Significant,Not Significant,Not Significant","Down","Up","Not Significant","Not Significant","Not Significant","Down,Up,Not Significant,Not Significant,Not Significant","Category_10"
